ID,Category,Reason
https://jpsearch.go.jp/data/adeac-R100000094_I000006431_00,Noise,タイトル「常源譜略」の「譜略」は家系図や年表の略記を指すことが多く、資料内容に楽譜であることを示す記述がないため、系譜（Noise）と判断する。
https://jpsearch.go.jp/data/adeac-R100000094_I000006813_00,Noise,タイトル「百人一詩画譜」およびDescの「資料の種別: 異種百人一首」「百人一首コレクション」から、百人一首の歌と絵を収録した画譜（Noise）と判断する。楽譜を示唆する記述はない。
https://jpsearch.go.jp/data/adeac-R100000094_I000008150_00,Noise,タイトルに「傳記系譜」が含まれ、Descに「資料の種別: 注釈書」「歌人の伝記、歌の注釈、歌仙絵などを載せる」と明確に記されているため、伝記・系譜・絵画（Noise）と判断する。楽譜を示唆する記述はない。
https://jpsearch.go.jp/data/adeac-R100000094_I000008643_00,Noise,タイトルに「傳記系譜」が含まれ、Descに「資料の種別: 注釈書」と記されているため、伝記・系譜・絵画（Noise）と判断する。資料3と同一の性質を持つものと推測される。楽譜を示唆する記述はない。
https://jpsearch.go.jp/data/adeac-R100000094_I000008663_00,Noise,タイトル「百人一詩画譜」およびDescの「資料の種別: 歌仙絵」「百人一首コレクション」から、百人一首の歌仙絵を収録した画譜（Noise）と判断する。楽譜を示唆する記述はない。
https://jpsearch.go.jp/data/adeac-R100000094_I000009104_00,Noise,タイトルに「傳記系譜」と明記されており、内容も歌人の伝記、歌の注釈、歌仙絵などが主であるため、家系図や注釈書に該当します。楽譜や歌本（メロディーが記されたもの）ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000009105_00,Noise,タイトルに「傳記系譜」と明記されており、資料の種別も「注釈書」であるため、家系図や注釈書に該当します。楽譜や歌本（メロディーが記されたもの）ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000009108_00,Noise,タイトルに「傳記系譜」と明記されており、内容も歌人の伝記、歌の注釈、歌仙絵などが主であるため、家系図や注釈書に該当します。楽譜や歌本（メロディーが記されたもの）ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000009109_00,Noise,タイトルに「傳記系譜」と明記されており、資料の種別も「注釈書」であるため、家系図や注釈書に該当します。楽譜や歌本（メロディーが記されたもの）ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000010169_00,Noise,タイトルに「系譜」と明記されており、判定基準の「家系図(系譜)」に直接該当します。楽譜や歌本ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000021760_00,Noise,タイトルに「御家譜」とあり、家系図（系譜）を意味するため、楽譜ではないと判断しました。説明文の「徳川家康の遺訓」も内容が楽譜ではないことを補強します。
https://jpsearch.go.jp/data/adeac-R100000094_I000021770_00,Noise,タイトルに「遠山家系譜」、説明に「遠山家系図」と明確に記載されており、家系図（系譜）に該当するため、楽譜ではないと判断しました。
https://jpsearch.go.jp/data/adeac-R100000094_I000021771_00,Noise,タイトルに「御系譜」、説明に「初代大名遠山友政から第十一代友寿までの系図」と明確に記載されており、家系図（系譜）に該当するため、楽譜ではないと判断しました。
https://jpsearch.go.jp/data/adeac-R100000094_I000021773_00,Noise,タイトルに「秘譜」とありますが、説明に「苗木城主遠山家の由緒の写し」とあり、家系の歴史や由来を記したもので家系図（系譜）に類するものと判断できるため、楽譜ではないと判断しました。
https://jpsearch.go.jp/data/adeac-R100000094_I000023843_00,Noise,タイトルに「釋迦譜要略」とあり、説明に「資料の分類: 稽古有文館－仏教」とあることから、釈迦の生涯や教え、系譜などを記した仏教関連の書物であり、楽譜ではないと判断しました。
https://jpsearch.go.jp/data/adeac-R100000094_I000023844_00,Noise,タイトルに「釋迦譜」とあり、釈迦の生涯や系譜を記したものであるため、「家系図(系譜)」に分類されます。
https://jpsearch.go.jp/data/adeac-R100000094_I000023845_00,Noise,タイトルに「釋迦譜」とあり、釈迦の生涯や系譜を記したものであるため、「家系図(系譜)」に分類されます。
https://jpsearch.go.jp/data/adeac-R100000094_I000024122_00,Noise,タイトルに「茶入花押譜」とあり、茶入の花押（署名の代わり）を集めたもので、楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000024589_00,Noise,タイトルに「御年譜」とあり、人物の経歴を年ごとに記したものであるため、「年表(年譜)」に分類されます。
https://jpsearch.go.jp/data/adeac-R100000094_I000036948_00,Noise,本書は『往来物』（手紙の模範文例集や単語集）であり、説明文に「楽器・十二律・楽」という単語集団が含まれるとありますが、これ自体が実用的な楽譜を構成するものではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000036949_00,Unknown,本資料は『新撰類聚往来』という往来物（教科書・単語集）であり、説明に「楽器・十二律・楽」という単語集団が含まれるとありますが、これは音楽に関する語彙をまとめたもので、実用的な楽譜や記譜法そのものではないため、判断できません。
https://jpsearch.go.jp/data/adeac-R100000094_I000036950_00,Unknown,本資料は『新撰類聚往来』という往来物（教科書・単語集）であり、説明に「楽器・十二律・楽」という単語集団が含まれるとありますが、これは音楽に関する語彙をまとめたもので、実用的な楽譜や記譜法そのものではないため、判断できません。
https://jpsearch.go.jp/data/adeac-R100000094_I000074253_00,Noise,本資料は「譜代足軽勤方についての諸法令留書」であり、特定の職務や組織に関する記録文書です。「譜」の字が含まれますが、家系図や年表に近い歴史的・系譜的記録であり、実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000074387_00,Noise,本資料は『帝王譜畧』というタイトルから、帝王の系譜や略歴（年譜）をまとめたものと判断できます。これは「家系図(系譜)」や「年表(年譜)」に該当し、実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000074388_00,Noise,本資料は『帝王譜畧』というタイトルから、帝王の系譜や略歴（年譜）をまとめたものと判断できます。これは「家系図(系譜)」や「年表(年譜)」に該当し、実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000074915_00,Noise,『詩経』は中国最古の詩集であり、この資料はその注釈書である。楽譜や記譜法に関する内容は含まれていないため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000075116_00,Noise,タイトルに「印譜」とある通り、印影を収録した資料である。判定基準の「印影(印譜)」に該当するため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000075372_00,Noise,タイトルに「家譜略」とある通り、家系に関する資料である。判定基準の「家系図(系譜)」に該当するため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000095715_00,Noise,タイトルに「画譜」とある通り、絵画を収録した資料である。判定基準の「絵画(画譜・図譜)」に該当するため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000096209_00,Noise,タイトルに「藩翰譜」とある通り、江戸時代の大名の系譜や履歴を記した資料である。これは「系譜」に該当するため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000096210_00,Noise,「藩翰譜」は新井白石が著した、諸大名の系譜を記した歴史書です。タイトルに「譜」とありますが、これは家系図（系譜）を意味し、楽譜ではありません。資料の分類も「歴史」となっており、楽譜としての機能は持ちません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096211_00,Noise,「藩翰譜」は新井白石が著した、諸大名の系譜を記した歴史書です。タイトルに「譜」とありますが、これは家系図（系譜）を意味し、楽譜ではありません。資料の分類も「歴史」となっており、楽譜としての機能は持ちません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096212_00,Noise,「藩翰譜」は新井白石が著した、諸大名の系譜を記した歴史書です。タイトルに「譜」とありますが、これは家系図（系譜）を意味し、楽譜ではありません。資料の分類も「歴史」となっており、楽譜としての機能は持ちません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096213_00,Noise,「藩翰譜」は新井白石が著した、諸大名の系譜を記した歴史書です。タイトルに「譜」とありますが、これは家系図（系譜）を意味し、楽譜ではありません。資料の分類も「歴史」となっており、楽譜としての機能は持ちません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096214_00,Noise,「藩翰譜」は新井白石が著した、諸大名の系譜を記した歴史書です。タイトルに「譜」とありますが、これは家系図（系譜）を意味し、楽譜ではありません。資料の分類も「歴史」となっており、楽譜としての機能は持ちません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096215_00,Noise,資料のタイトル「藩翰譜」は、新井白石による江戸時代の譜代大名の系譜・歴史書であり、家系図（系譜）または年表（年譜）に該当するため、「実用的な楽譜」ではない。資料の分類も「歴史」と明記されている。
https://jpsearch.go.jp/data/adeac-R100000094_I000096216_00,Noise,資料のタイトル「藩翰譜」は、新井白石による江戸時代の譜代大名の系譜・歴史書であり、家系図（系譜）または年表（年譜）に該当するため、「実用的な楽譜」ではない。資料の分類も「歴史」と明記されている。
https://jpsearch.go.jp/data/adeac-R100000094_I000096217_00,Noise,資料のタイトル「藩翰譜」は、新井白石による江戸時代の譜代大名の系譜・歴史書であり、家系図（系譜）または年表（年譜）に該当するため、「実用的な楽譜」ではない。資料の分類も「歴史」と明記されている。
https://jpsearch.go.jp/data/adeac-R100000094_I000096218_00,Noise,資料のタイトル「藩翰譜」は、新井白石による江戸時代の譜代大名の系譜・歴史書であり、家系図（系譜）または年表（年譜）に該当するため、「実用的な楽譜」ではない。資料の分類も「歴史」と明記されている。
https://jpsearch.go.jp/data/adeac-R100000094_I000096219_00,Noise,資料のタイトル「藩翰譜」は、新井白石による江戸時代の譜代大名の系譜・歴史書であり、家系図（系譜）または年表（年譜）に該当するため、「実用的な楽譜」ではない。資料の分類も「歴史」と明記されている。
https://jpsearch.go.jp/data/adeac-R100000094_I000096220_00,Noise,タイトル「藩翰譜」は新井白石による江戸時代の大名家の系譜を記した歴史書であり、Descの「資料の分類」も「歴史」となっている。「藩翰譜」の「譜」は「系譜」を意味するため、判定基準の「家系図(系譜)」に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000096221_00,Noise,タイトル「藩翰譜」は新井白石による江戸時代の大名家の系譜を記した歴史書であり、Descの「資料の分類」も「歴史」となっている。「藩翰譜」の「譜」は「系譜」を意味するため、判定基準の「家系図(系譜)」に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000096222_00,Noise,タイトル「藩翰譜」は新井白石による江戸時代の大名家の系譜を記した歴史書であり、Descの「資料の分類」も「歴史」となっている。「藩翰譜」の「譜」は「系譜」を意味するため、判定基準の「家系図(系譜)」に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000096223_00,Noise,タイトル「藩翰譜」は新井白石による江戸時代の大名家の系譜を記した歴史書であり、Descの「資料の分類」も「歴史」となっている。「藩翰譜」の「譜」は「系譜」を意味するため、判定基準の「家系図(系譜)」に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000096224_00,Noise,タイトル「藩翰譜」は新井白石による江戸時代の大名家の系譜を記した歴史書であり、Descの「資料の分類」も「歴史」となっている。「藩翰譜」の「譜」は「系譜」を意味するため、判定基準の「家系図(系譜)」に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000096472_00,Noise,タイトルに「皇胤譜（家系図）」、「年譜（年表）」とあり、Descの「資料の分類」が「伝記」であることから、家系図または年表に関する資料と判断されます。これらは「実用的な楽譜」ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096494_00,Noise,タイトルに「諸家知譜」とあり、Descの「資料の分類」が「伝記」であることから、諸家の系譜（家系図）または人物伝記に関する資料と判断されます。これらは「実用的な楽譜」ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096495_00,Noise,前後の資料と同じく「改正増補諸家知譜拙記」の続巻であり、Descの「資料の分類」が「伝記」であることから、諸家の系譜（家系図）または人物伝記に関する資料と判断されます。これらは「実用的な楽譜」ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096496_00,Noise,前後の資料と同じく「改正増補諸家知譜拙記」の続巻であり、Descの「資料の分類」が「伝記」であることから、諸家の系譜（家系図）または人物伝記に関する資料と判断されます。これらは「実用的な楽譜」ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096497_00,Noise,前後の資料と同じく「改正増補諸家知譜拙記」の続巻であり、Descの「資料の分類」が「伝記」であることから、諸家の系譜（家系図）または人物伝記に関する資料と判断されます。これらは「実用的な楽譜」ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000096498_00,Noise,書名に「知譜」とあるが、資料の分類が「伝記」であり、内容から家系図（系譜）または人物の伝記に該当するため、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000106254_00,Noise,書名に「黒田家譜」とあり、説明に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記され、内容細目に「黒田系譜」とあるため、家系図（系譜）に該当し、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000106255_00,Noise,書名に「黒田家譜」とあり、説明に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記され、内容細目も人物の伝記や合戦の記録であるため、家系図（系譜）または年表（年譜）に該当し、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000106256_00,Noise,書名に「黒田家譜」とあり、説明に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記され、内容細目も合戦や人物の事績の記録であるため、家系図（系譜）または年表（年譜）に該当し、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000106257_00,Noise,書名に「黒田家譜」とあり、説明に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記され、内容細目も合戦や人物の事績の記録であるため、家系図（系譜）または年表（年譜）に該当し、「実用的な楽譜」ではない。
https://jpsearch.go.jp/data/adeac-R100000094_I000106258_00,Noise,タイトルに「黒田家譜」とあり、説明文にも「福岡藩が藩主黒田家の歴史を編さんした書物。」とあるため、家系図(系譜)に該当します。これは実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000106259_00,Noise,タイトルに「黒田家譜」とあり、説明文にも「福岡藩が藩主黒田家の歴史を編さんした書物。」とあるため、家系図(系譜)に該当します。これは実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000106260_00,Noise,タイトルに「黒田家譜」とあり、説明文にも「福岡藩が藩主黒田家の歴史を編さんした書物。」とあるため、家系図(系譜)に該当します。これは実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000106261_00,Noise,タイトルに「黒田家譜」とあり、説明文にも「福岡藩が藩主黒田家の歴史を編さんした書物。」とあるため、家系図(系譜)に該当します。これは実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000106262_00,Noise,タイトルに「黒田家譜」とあり、説明文にも「福岡藩が藩主黒田家の歴史を編さんした書物。」とあるため、家系図(系譜)に該当します。これは実用的な楽譜ではありません。
https://jpsearch.go.jp/data/adeac-R100000094_I000106263_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106264_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106265_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106266_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106267_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106268_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106269_00,Noise,タイトルに「黒田家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106270_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106271_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106272_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106273_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106274_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000106275_00,Noise,タイトルに「黒田続家譜」とあり、説明文に「福岡藩が藩主黒田家の歴史を編さんした書物」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000119240_00,Noise,タイトルに「本草図譜」とあり、説明文に植物学者や植物の図について言及されているため、植物図鑑（花譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141389_00,Noise,タイトルに「諸士系譜」とあり、説明文に「会津藩諸士系譜」と明記されているため、家系図（系譜）に該当します。索引も系譜の一部です。
https://jpsearch.go.jp/data/adeac-R100000094_I000141390_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141391_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141392_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141393_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141394_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141395_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141396_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141397_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141398_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141399_00,Noise,タイトルに「諸士系譜」とあり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当します。
https://jpsearch.go.jp/data/adeac-R100000094_I000141400_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141401_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141402_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141403_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141404_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141405_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141406_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141407_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141408_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141409_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141410_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141411_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141412_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141413_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141414_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141415_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141416_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141417_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141418_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
https://jpsearch.go.jp/data/adeac-R100000094_I000141419_00,Noise,資料名が「諸士系譜」であり、説明文に「班席が独礼以上の藩士1085家を集録した系譜である」と明記されているため、家系図（系譜）に該当する。
